Country,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,23.08045,22.42028,21.770616,21.109753,20.456223,19.79429,19.139517,18.486127,17.845099,17.222792,16.634613,16.077512,15.550792,15.058936,14.59901,14.157362,13.734811,13.330147,12.93389,12.530519,12.118846,11.702546,11.279189,10.855847,10.427358,10.003727,9.586595,9.178992,8.778543,8.3963875,8.026968,7.6771194,7.337743,7.0172264,6.724831,6.4581924,6.2171776,5.9917328,5.779781,5.5657482
Albania,6.902882,6.3702656,5.8906235,5.4751072,5.108977,4.7903236,4.5155663,4.279809,4.0831703,3.9143337,3.762865,3.628957,3.503067,3.380211,3.2532665,3.1215874,2.9894476,2.8549936,2.7181055,2.5799519,2.4380102,2.2930672,2.1459871,1.9982258,1.852108,1.710299,1.576326,1.449259,1.3288301,1.2171888,1.1213959,1.0463393,0.9921585,0.9577139,0.9399676,0.9336709,0.9343905,0.9388104,0.9436108,0.9455919
Algeria,11.895916,10.231719,8.722377,7.469762,6.5290085,5.906419,5.5265247,5.3074306,5.1890125,5.1266342,5.0750546,5.0163063,4.9439194,4.8454037,4.7286903,4.6010914,4.4658356,4.321787,4.168794,4.0096043,3.8487446,3.686668,3.5295784,3.3775715,3.233872,3.0978212,2.9768938,2.8712835,2.7809116,2.7076586,2.6494217,2.6050264,2.5668068,2.530461,2.4924116,2.4483149,2.3979382,2.3451487,2.2897308,2.2335287
Andorra,,,,1.7470982,1.6465841,1.5568161,1.4706718,1.3855739,1.3116703,1.2388692,1.1715163,1.1083739,1.0468692,0.9883878,0.9371487,0.8860851,0.8401645,0.79846597,0.7607158,0.72190647,0.68734803,0.65398355,0.6263718,0.59638205,0.56497664,0.5350325,0.50772347,0.48226094,0.4577037,0.43297067,0.4133691,0.39224598,0.3726689,0.3525385,0.33509343,0.31953647,0.30591354,0.29503987,0.28482692,0.27563622
Angola,23.347865,23.080125,22.848293,22.66265,22.54729,22.472025,22.398886,22.371523,22.350458,22.349579,22.359592,22.365105,22.332356,22.236928,22.085526,21.817664,21.463055,21.033409,20.513585,19.889958,19.193564,18.416428,17.545227,16.619028,15.677907,14.709866,13.753609,12.849971,11.997302,11.221589,10.487527,9.830585,9.2911865,8.833902,8.444892,8.107953,7.796841,7.5038376,7.20743,6.942133
Anguilla,,,,2.2880342,2.1529224,2.021356,1.8997715,1.7843498,1.6770681,1.5781225,1.4834991,1.39886055,1.31808,1.24219265,1.1747762,1.1155777,1.0586763,1.0065033,0.9574438,0.9121242,0.8709389,0.8306437,0.79236016,0.75598884,0.72335258,0.6914109,0.6615219,0.63363757,0.6054546,0.57867513,0.55473294,0.5334102,0.51379447,0.4968792,0.48016686,0.46411967,0.44883976,0.43251305,0.41787753,0.40450935
Antigua and Barbuda,1.4826664,1.4324246,1.3952427,1.3716841,1.35928,1.3583423,1.3661537,1.3831137,1.4062533,1.4369468,1.4720185,1.5089477,1.545313,1.5746082,1.5966976,1.6061256,1.601723,1.5837853,1.5529814,1.51212435,1.4653112,1.4100093,1.3532068,1.2936641,1.2341654,1.1749242,1.1162481,1.0599462,1.0057275,0.9532173,0.902371,0.8554236,0.8125088,0.7749953,0.7427224,0.7119537,0.6843436,0.6592641,0.63583045,0.61445622
Argentina,3.6487263,3.4080456,3.2121212,3.0597618,2.9571547,2.9087084,2.8970627,2.8936049,2.876629,2.8335867,2.7565899,2.6544289,2.5416857,2.4295132,2.3210415,2.2189037,2.1256784,2.041558,1.967534,1.8993898,1.8343107,1.7715715,1.7125633,1.658626,1.611232,1.57214155,1.5365405,1.4963547,1.4476852,1.3927546,1.3342989,1.2748549,1.2168138,1.1593629,1.0968554,1.0253102,0.9450886,0.858049,0.7700813,0.69181986
Armenia,6.784633,6.5136444,6.2585426,6.0104603,5.770723,5.5410816,9.2683914,5.1058926,4.8928963,4.6880936,4.4824368,4.2827168,4.0891983,3.9021553,3.7208073,3.5467297,3.381896,3.2192104,3.0656433,2.9195093,2.776966,2.6406462,2.511088,2.3891434,2.2712976,2.1592825,2.0521208,1.9516354,1.85445,1.7623894,1.675307,1.5914989,1.5137894,1.4407902,1.3711639,1.3044929,1.2424542,1.1825959,1.1262289,1.0721141
Australia,1.2172526,1.18637085,1.1581904,1.1289451,1.0967417,1.0603379,1.0185386,0.9708614,0.9188839,0.8658748,0.8152276,0.76964645,0.73121758,0.700948,0.67736835,0.65926228,0.6446664,0.6314727,0.61872573,0.6075909,0.59861093,0.59091835,0.5825695,0.5720415,0.5584972,0.5417077,0.5218318,0.4998227,0.4766433,0.4535785,0.43171844,0.412573,0.39757013,0.38723328,0.3808726,0.37767508,0.37629104,0.37543573,0.37396815,0.37119224
Austria,1.4767412,1.4049772,1.332432,1.2596466,1.1870179,1.1149261,1.0490622,0.9948427,0.9511478,0.9080037,0.8561579,0.7973627,0.7370056,0.6803936,0.63331223,0.59870296,0.57545037,0.56027155,0.55058208,0.5424003,0.5330538,0.52098546,0.5060434,0.4897559,0.4745917,0.4633418,0.4543761,0.44506474,0.4336335,0.4199375,0.40465627,0.3897079,0.37672918,0.36707451,0.36055412,0.35705516,0.35620809,0.35827775,0.36229815,0.36575947
Azerbaijan,11.001385,10.72195,10.46582,10.2224525,10.013854,9.824457,9.674613,9.570102,9.529869,9.5537994,9.589235,9.5977974,9.550294,9.423131,9.194894,8.870981,8.458289,7.972388,7.458898,6.941681,6.4459274,5.9849285,5.572559,5.2016525,4.8676117,4.5594112,4.2680645,3.992764,3.7312,3.482618,3.2505375,3.0323576,2.8257378,2.6297518,2.4480381,2.288524,2.154534,2.0420782,1.9427809,1.85862
Bahamas,2.8624983,2.8349838,2.8124405,2.7819891,2.732431,2.6581533,2.5638374,2.4577532,2.3483835,2.23971,2.135236,2.0350998,1.9391605,1.8497633,1.7698944,1.704153,1.657966,1.634035,1.6299477,1.640543,1.6597189,1.6790775,1.6910774,1.6916748,1.6793545,1.6534643,1.6195671,1.5824863,1.5443119,1.5063193,1.4718018,1.4408986,1.4148979,1.3934337,1.3759807,1.3628956,1.3529723,2.3419844,1.3321555,1.3159127
Bahrain,2.8747286,2.7316229,2.605324,2.5011744,2.4226023,2.3680784,2.3354935,2.3187532,2.3009789,2.2683064,2.206251,2.1053509,1.9680695,1.8135874,1.6590166,1.5179621,1.4022398,1.3139421,1.2481136,1.1987239,1.1606226,1.1287134,1.097914,1.06472645,1.0248542,0.9808541,0.9343957,0.8884341,0.84722,0.814225,0.78851695,0.7691922,0.7548969,0.7436842,0.7343731,0.726351,0.7186386,0.71158385,0.7027828,0.6915642
Bangladesh,19.496567,18.942906,18.360347,17.750624,17.128743,16.493489,15.854996,15.224445,14.596597,13.970476,13.342691,12.713806,12.089934,11.4727486,10.8640976,10.266975,9.689005,9.132055,8.6066444,8.113846,7.655481,7.2276665,6.8291695,6.453747,6.1034748,5.7738506,5.4675438,5.1812054,4.915377,4.6679928,4.4352074,4.2143085,4.0021515,3.7971584,3.599151,3.407044,3.219655,3.0422539,2.8767538,2.727363
Barbados,2.4375422,2.3415861,2.2594538,2.186966,2.1164083,2.0447508,1.9695435,1.8921335,1.8130259,1.736852,1.665318,1.6038063,1.5537926,1.5165012,1.4933972,1.4833319,1.4846942,1.4963239,1.5160894,1.5381413,1.5586154,1.5724955,1.5779365,1.57409315,1.5628534,1.5472452,1.5305234,1.514166,1.4999931,1.4859792,1.4740226,1.4551295,1.4353072,1.4071988,1.3767338,1.3428438,1.3042903,1.2657368,1.2288333,1.1913524
Belarus,1.9432947,1.8736515,1.8137419,1.75723,1.6997932,1.6424646,1.5897891,1.546206,1.5201395,1.5180373,1.5337997,1.5533876,1.5666067,1.5672261,1.5497457,1.5108506,1.4492458,1.368027,1.2762449,1.18276825,1.094158,1.0144941,0.9434711,0.8741425,0.801827,0.7300302,0.6642535,0.6072621,0.5592099,0.51938443,0.4859576,0.4574534,0.4324189,0.4088526,0.38557332,0.36186745,0.33752258,0.31318607,0.29123979,0.27249396
Belgium,1.3279642,1.2677226,1.2155786,1.1732191,1.13660965,1.1010878,1.0663224,1.033521,1.0023377,0.9681921,0.9272974,0.878818,0.8226274,0.7631796,0.70856757,0.6649916,0.63205576,0.6066762,0.5862572,0.56822767,0.55059056,0.53307786,0.51743307,0.5038054,0.49143934,0.4793398,0.46748796,0.45629015,0.4459512,0.4362287,0.42700696,0.4186234,0.41208477,0.4078451,0.40617385,0.40670595,0.4088267,0.41074233,0.4113765,0.41006517
Belize,5.973734,5.714884,5.450015,5.1776512,4.910244,4.6320763,4.3566128,4.090803,3.842609,3.6089157,3.3975666,3.2059387,3.0399206,2.893295,2.7612474,2.6463367,2.5415737,2.446185,2.360902,2.285028,2.2213972,2.1700605,2.1278793,2.0923433,2.059977,2.0263105,1.9879103,1.945484,1.8941288,1.8350561,1.7675379,1.6925098,1.612335,1.5317431,1.451155,1.3729567,1.29762945,1.2298409,1.1702936,1.1186618
Benin,20.412544,20.017192,19.63149,19.250316,18.8604,18.4623,18.067094,17.671921,17.267453,16.861009,16.460634,16.068115,15.688718,15.333788,14.991667,14.653578,14.328923,14.005034,13.681319,13.363924,13.049039,12.742834,12.4443245,12.159755,11.887161,11.628905,11.381589,11.14481,10.913746,10.68542,10.4601845,10.234644,10.012671,9.7870605,9.5641174,9.3437805,9.110071,8.8606346,8.603433,8.352425
Bhutan,17.897314,17.177614,16.4784,15.793085,15.116953,14.461194,13.845668,13.249626,12.666914,12.103714,11.5637955,11.031446,10.519131,10.021377,9.528656,9.054053,8.586209,8.1408226,7.709862,7.2891525,6.8821434,6.493984,6.116226,5.755614,5.412841,5.0875492,4.7820217,4.497426,4.2355972,4.0061966,3.8049324,3.6267796,3.466184,3.3197647,3.1870613,3.0642876,2.9586618,2.8524048,2.7549221,2.6687412
Bolivia,15.950143,15.50821,15.053853,14.588351,14.107983,13.613065,13.124529,12.634712,12.148481,11.6746704,11.2052734,10.738968,10.283123,9.827611,9.3741585,8.915128,8.456007,8.000965,7.563072,7.1372246,6.732316,6.346413,5.979383,5.6336315,5.306949,5.000497,4.7131027,4.444164,4.188802,3.9540775,3.7298645,3.522465,3.3332035,3.1641499,3.0196177,2.8915852,2.7717527,2.659171,2.5627235,2.4691938
Bosnia and Herzegovina,,,2.9366613,2.7022781,2.4900242,2.297949,2.1216515,1.9611984,1.8147936,1.6833258,3.549077,3.5032284,2.6124758,1.3970136,1.2217196,1.15339,1.0897786,1.03364525,0.9888027,0.956209,0.9335127,0.918136,0.9045436,0.8866998,0.8605097,0.8278178,0.79116077,0.7535114,0.71920753,0.6899204,0.66648335,0.6489398,0.63582044,0.6262254,0.61878133,0.61087523,0.60053368,0.58824873,0.57497272,0.56006002
Botswana,6.566176,6.2420864,5.9303673,5.61434,5.2881943,4.9628246,4.672798,4.5116802,4.527245,4.7286797,5.0796074,5.5394516,6.0420486,6.5671974,6.56099,6.937715,7.175629,7.303492,7.40113,7.316618,7.224467,7.305437,7.367513,7.131507,6.884708,6.859364,6.8778206,6.592778,6.2552658,6.1249035,5.5216034,5.030737,4.81802,4.5372864,4.35198,3.9939857,3.8961773,3.7740673,3.6314156,3.486942
Brazil,8.782514,8.397768,8.040742,7.710541,7.413251,7.1283035,6.85569,6.592116,6.320109,6.0386345,5.7391273,5.4289936,5.1117126,4.799765,4.500676,4.2173313,3.9523506,3.7048553,3.4730286,3.2516773,3.041335,2.8433836,2.6525745,2.479908,2.323799,2.1835676,2.0611273,1.9553009,1.8644892,1.788233,1.724374,1.6720476,1.6295023,1.5948158,1.6745653,1.5390214,1.5156679,1.494002,1.4695511,1.4410983
British Virgin Islands,2.783834,2.6419975,2.5056467,2.3770464,2.2575466,2.1491175,2.0571825,1.9750595,1.9054998,1.8474297,1.7950418,1.752404,1.7142134,1.681591,1.6540195,1.6262815,1.6069935,1.5878676,1.5737174,1.5634976,1.5554929,1.54697695,1.545498,1.5400341,1.5334532,1.5254267,1.5049741,1.4801457,1.4508088,1.4160414,1.3799787,1.3436828,1.3064646,1.2687099,1.2285678,1.1889763,1.1548198,1.1178554,1.0852601,1.0462895
Brunei,1.7606468,1.645956,1.5533893,1.4783885,1.4193528,1.3758763,1.3484541,1.3345101,1.3283031,1.3276734,1.3237235,1.3076498,1.2802791,1.2426744,1.19851465,1.1518268,1.1073465,1.0675956,1.0330126,1.00437565,0.9820315,0.9654997,0.95496855,0.9485857,0.9463468,0.9471179,0.9510105,0.9582191,0.9692775,0.9825489,0.9986637,1.0172586,1.0377151,1.0590983,1.0805216,1.1014434,1.1230371,1.1401959,1.150181,1.1475964
Bulgaria,2.2195526,2.15038,2.0721191,1.9770945,1.8731941,1.7948668,1.7694191,1.7908247,1.8374361,1.8890505,1.9243378,1.9273481,1.9116503,1.9096539,1.9317154,1.9407469,1.9002312,1.8223368,1.7411139,1.6704512,1.5991748,1.5153352,1.4218445,1.3279218,1.2433837,1.1783857,1.1388136,1.1134109,1.0833068,1.03882675,0.9840189,0.9241159,0.8656666,0.8132112,0.76949434,0.7316635,0.6979162,0.66952643,0.6478413,0.63242784
Burkina Faso,22.864671,22.382158,21.928859,21.474191,21.026701,20.618666,20.30087,20.056975,19.908748,19.834857,19.802116,19.740118,19.645454,19.479521,19.232854,18.926538,18.597806,18.245285,17.870831,17.468858,17.017413,16.498874,15.91461,15.27864,14.604372,13.933827,13.305054,12.722201,12.1941956,11.719893,11.290227,10.872644,10.472931,10.108928,9.7661156,9.4504944,9.1345345,8.822932,8.535078,8.260758
Burundi,20.280885,19.208682,18.280058,17.592546,17.118639,16.888472,16.832936,16.912265,17.034335,17.178922,17.286432,19.416896,17.32676,17.237843,17.050636,16.770364,16.386679,15.93953,15.459999,14.946208,14.394412,13.807346,13.172711,12.469858,11.75128,11.032705,10.345585,9.702235,9.102579,8.559583,8.04747,7.5741196,7.155608,6.7863884,6.45759,6.174199,5.9083637,5.6736744,5.4611202,5.260476
Cambodia,14.086333,12.977005,12.331882,11.977121,11.761915,11.665079,11.626413,11.62878,11.6254944,11.623124,11.648743,11.727815,11.842642,11.954377,12.005046,11.9545944,11.764893,11.334241,10.6301315,9.686373,8.692276,7.823443,7.0828835,6.478138,5.9766426,5.53318,5.135217,4.754872,4.3945946,4.063491,3.7754993,3.534198,3.337968,3.1746084,3.025955,2.8943924,2.7833252,2.6814138,2.5790512,2.476356
Cameroon,16.777199,16.128322,15.473923,14.85985,14.340967,13.93094,13.678026,13.57826,13.622353,13.785846,14.019795,14.272713,14.498576,14.669524,14.79091,14.84681,14.814244,14.67445,14.444621,14.151108,13.815596,13.463965,13.113908,12.794373,12.4568886,12.129615,11.776528,11.451366,11.016054,10.5932556,10.15043,9.6884636,9.2482414,8.812032,8.4334076,8.080299,7.770692,7.509406,7.242319,6.9788025
Canada,1.117032,1.0615853,1.0149157,0.9757958,0.9424051,0.9121119,0.8833674,0.854356,0.8246758,0.7955661,0.76780787,0.7415326,0.7165678,0.6930934,0.6718254,0.6536271,0.63928103,0.62914286,0.62304554,0.6198101,0.6180759,0.61653123,0.6138172,0.6095271,0.6034216,0.59619946,0.58817945,0.58023286,0.57246933,0.5651365,0.55799937,0.5510528,0.54458294,0.53854394,0.53295527,0.52786913,0.5228503,0.5175461,0.51144094,0.5041324
Cape Verde,8.648278,8.47937,8.2633316,7.9644775,7.571537,7.138065,6.70225,6.3219086,6.0361343,5.8687523,5.7875927,5.769442,5.7533943,5.6663498,5.4618256,5.137233,4.710777,4.245873,3.8089504,3.443623,3.1618702,2.9722826,2.8601196,2.8038393,2.7844662,2.7770603,2.7582191,2.716919,2.6463888,2.5458515,2.4208874,2.2778608,2.1261106,1.973928,1.8287674,1.6992712,1.59015665,1.498705,1.4221199,1.3548837
Central African Republic,18.391647,18.24418,18.123647,18.02505,17.95386,17.895659,17.848451,17.798402,17.740773,17.681241,17.619746,17.558383,17.501361,17.42502,17.329749,17.201741,17.039131,16.836417,16.614275,16.359984,16.065292,15.729633,15.359651,14.97081,14.529555,14.117723,13.747063,13.350723,12.978224,12.6386505,12.332301,12.111094,11.857045,11.553486,11.265256,11.092244,10.87839,10.5909,10.304561,9.991608
Chad,23.530116,23.256447,22.967116,22.674043,22.379141,22.088211,21.790526,21.492902,21.19755,20.916158,20.635909,20.369032,20.120134,19.87542,19.635649,19.363644,19.076373,18.759602,18.43476,18.102148,17.767368,17.430159,17.092487,16.746385,16.385068,16.012737,15.62873,15.233305,14.8425,14.445576,14.063019,13.68831,13.329701,12.949101,12.5811104,12.187662,11.801545,11.433528,11.052661,10.7065475
Chile,2.7035742,2.4605162,2.305262,2.2425251,2.2205038,2.191815,2.1340996,2.0379435,1.9083416,1.764264,1.623801,1.4976228,1.3923819,1.3105253,1.2533222,1.219579,1.1933505,1.1518364,1.0893211,1.0264276,0.9808739,0.9507964,0.9286399,0.9097324,0.8963161,0.8906719,0.8882933,0.8824604,0.8700407,0.8544156,0.8392625,0.8250275,0.8107216,0.795923,0.7793618,0.76091986,0.7399802,0.714577,0.68531723,0.6553434
China,5.7692432,5.602958,5.4847195,5.414443,5.3804165,5.3780083,5.385871,5.3863003,5.3619846,5.3060963,5.211349,5.0806595,4.918158,4.7365334,4.549714,4.348512,4.135058,3.9093227,3.6680393,3.4105026,3.1476421,2.8855085,2.6335995,2.4020712,2.1954527,2.0113085,1.8490145,1.7050034,1.5755194,1.4570093,1.3483801,1.2479529,1.1558433,1.0713093,0.9933475,0.9220807,0.8577589,0.79790745,0.74388137,0.6934592
Colombia,5.147414,4.8520096,4.5898323,4.355029,4.149866,3.971519,3.8175083,3.6803185,3.557195,3.4392548,3.3242676,3.2106945,3.0994598,2.9889362,2.880515,2.7786415,2.6815626,2.5904623,2.5066359,2.4292097,2.3551243,2.2843689,2.217192,2.1516745,2.087247,2.0236034,1.961816,1.9003878,1.8384361,1.7800478,1.7230413,1.6660603,1.6119354,1.5596246,1.508514,1.4616242,1.41407385,1.3719639,1.3251354,1.2848156
Comoros,16.383844,15.855243,15.33327,14.842325,14.355536,13.909521,13.4754,13.05643,12.6487434,12.252879,11.8691826,11.50212,11.174727,10.8679214,10.58502,10.3217026,10.077651,9.855235,9.637497,9.428862,9.209268,8.968486,8.7247116,8.474639,8.235821,7.993202,7.752814,7.512165,7.268179,7.028101,6.798403,6.575792,6.3520283,6.1248936,5.900986,5.6914246,5.4902584,5.3072937,5.134014,4.971674
Congo,10.164529,9.9170006,9.666107,9.430036,9.229414,9.095924,9.026681,9.03272,9.122433,9.2858665,9.510248,9.797159,10.135074,10.486266,10.846218,11.169212,11.3934654,11.466491,11.351359,11.0529045,10.583436,9.997883,9.337711,8.646311,7.999666,7.417896,6.929179,6.5380226,6.237994,6.008076,5.8211586,5.639157,5.462472,5.2780247,5.0954754,4.932669,4.7661068,5.244944,4.4522816,4.296786
Cook Islands,2.7453335,2.668332,2.6000689,2.5401642,2.4882566,2.4483307,2.4216238,2.4024849,2.3918167,2.382987,2.3701862,2.3482668,2.310644,2.2523949,2.1749979,2.085619,1.9891457,1.890633,1.799749,1.7166481,1.634957,1.5566161,1.4792798,1.4028313,1.3289647,1.2581455,1.1899619,1.1289062,1.0768635,1.0294339,0.9868772,0.9486996,0.91236925,0.8795357,0.8498942,0.8192723,0.79083014,0.76448674,0.73899646,0.71650214
Costa Rica,2.2875288,2.2701527,2.2490265,2.2001247,2.1196262,2.0088562,1.8875376,1.7775846,1.690365,1.6232645,1.5727419,1.5354051,1.5094906,1.4908257,1.4718981,1.4454988,1.4091752,1.3632682,1.31089945,1.259068,1.2143048,1.1784849,1.1522154,1.1338599,1.1201679,1.1069585,1.0920267,1.0734399,1.0499088,1.022216,0.9916848,0.9604004,0.9319029,0.9079917,0.8866745,0.8660263,0.8439952,0.8199728,0.79247212,0.7647508
Cote dIvoire,16.152411,15.861647,15.629402,15.459265,15.34511,15.276132,15.270578,15.301103,15.341151,15.382196,15.408125,15.420398,15.387598,15.332547,15.223668,15.064316,14.847314,14.58564,14.293726,13.979594,13.643405,13.299568,12.944485,12.568167,12.209337,11.830216,11.43822,11.01506,10.642872,10.318098,10.013538,9.688959,9.35162,9.0468025,8.803285,8.5559,8.277987,7.974316,7.728224,7.478533
Croatia,2.214282,2.0768867,1.9449707,1.8179817,1.6964792,1.5811912,1.4727858,1.3740759,1.2869952,1.3989082,1.1475638,1.0917493,1.0430522,1.0001858,0.961975,0.9269655,0.89371195,0.8616192,0.8300418,0.7985984,0.76680517,0.7346954,0.70263863,0.67152405,0.6421178,0.61473837,0.5895496,0.56699777,0.5472884,0.53058434,0.51722536,0.50662193,0.49840045,0.491872,0.48608723,0.48095703,0.4762588,0.4719463,0.4679682,0.4640069
Cuba,1.9968122,1.9015415,1.810924,1.7247742,1.6430079,1.565109,1.4923032,1.4215985,1.3556787,1.2926292,1.23460045,1.1798875,1.1281016,1.08031025,1.0350348,0.9924832,0.9526511,0.9156844,0.881159,0.8487535,0.8183548,0.79032354,0.7636097,0.73842278,0.7152206,0.69353576,0.6727533,0.6542248,0.6364544,0.62009892,0.6049873,0.5907839,0.5776213,0.56514616,0.5537259,0.5430185,0.5324784,0.52183876,0.51149955,0.5001638
Cyprus,1.7575783,1.631618,1.4773058,1.3310971,1.211209,1.137303,1.1146994,1.1220973,1.1257044,1.1090561,1.0726987,1.020774,0.9622966,0.9044253,0.8507861,0.79892135,0.74737835,0.69769397,0.65219855,0.6111393,0.5717131,0.53322215,0.4955107,0.4603143,0.4295461,0.4028283,0.381016,0.36259308,0.34566379,0.32921617,0.31340256,0.29901178,0.28704076,0.2787213,0.2748931,0.2740145,0.27610855,0.2798097,0.28047202,0.2785531
Czechia,1.4952767,1.4656729,1.4436291,1.4179495,1.3837703,1.343873,1.3012365,1.2571336,1.21202345,1.163439,1.103057,1.0258342,0.9381417,0.8499485,0.76844063,0.69607615,0.63410044,0.58405056,0.5464066,0.5194678,0.49791565,0.4775921,0.4566839,0.43536158,0.4134534,0.39188569,0.37193246,0.3537402,0.33839886,0.32651844,0.31858368,0.31509151,0.3148794,0.31666758,0.31864302,0.31786432,0.31223357,0.3022255,0.28910146,0.27514143
Democratic Republic of Congo,20.58289,20.280582,20.011661,19.770236,19.536832,19.319456,19.090735,18.862251,18.62979,18.400102,18.186804,17.976936,17.782405,17.585153,17.359776,17.097008,16.77988,16.41683,16.008344,15.581366,15.120807,14.652818,14.175246,13.688332,13.223819,12.7544685,12.302152,11.876535,11.460032,11.0673965,10.6819115,10.328633,9.973718,9.64925,9.3421616,9.0260704,8.7243,8.440412,8.167984,7.896054
